X,Y,osm_id,code,fclass,name
34.7707817,32.0799641,"445979360","3200",jewish,
34.8507269,32.3214046,"448572120","3200",jewish,
34.7723073,32.082621,"454928296","3200",jewish,
35.0002127,32.7670607,"474925545","3200",jewish,
34.5050191,31.5274963,"503992223","3301",muslim_sunni,Aby Hanefa El Nomany
34.539271,31.5427758,"503993202","3300",muslim,مسجد التوحيد
34.490427,31.524722,"503995416","3301",muslim_sunni,abu el keer
34.5092479,31.5292818,"503996289","3301",muslim_sunni,Elshfay Mosque
34.541949,31.5377168,"503996447","3301",muslim_sunni,El Toba Mosk
34.5044033,31.5380942,"503998143","3301",muslim_sunni,Subhi Al-Shawah Mosque
34.4922877,31.5336578,"503998943","3301",muslim_sunni,Aesha Om Al Moamneeb Mosque
34.4980944,31.5334414,"504000688","3301",muslim_sunni,مسجد الشهيد عبد العزيز الاشقر
34.5002435,31.5315184,"504000788","3301",muslim_sunni,Al Albany Mosque
34.4955077,31.5319919,"504001260","3301",muslim_sunni,El Awda Mosque
34.506916,31.5362365,"504001524","3301",muslim_sunni,Ben Omer Mosque
34.5334319,31.5421235,"504002627","3301",muslim_sunni,مسجد العجمي
34.4839751,31.526005,"504003326","3301",muslim_sunni,El Amary Mosque
34.4998152,31.5306456,"504003670","3301",muslim_sunni,Emad Aqel Mosque
34.5140446,31.5347897,"504003874","3301",muslim_sunni,Qlebo Mosque
34.528702,31.5429278,"504004872","3301",muslim_sunni,Alesteqama Mosque
34.4887489,31.5233876,"504005002","3301",muslim_sunni,Salah Al Deen Alayoube Mosque
34.4908337,31.5276712,"504005662","3301",muslim_sunni,Said Bin Aby Waqas Mosque
34.5256172,31.5390633,"504005969","3301",muslim_sunni,Alrahman Mosque
34.4975262,31.5263429,"504006429","3301",muslim_sunni,مسجد شهداء جباليا
34.4966078,31.5288249,"504008442","3301",muslim_sunni,Read Elsalheen
34.4979535,31.5458351,"504008603","3301",muslim_sunni,Altakwa Mosque
34.4780082,31.5243347,"504254438","3301",muslim_sunni,Al-Tawheed Mosque
34.4534214,31.4912795,"504255111","3301",muslim_sunni,Al-Rahman Mosque
34.4627697,31.5051339,"504255134","3301",muslim_sunni,مسجد الروضة
34.4617709,31.5086855,"504255368","3301",muslim_sunni,Al-Sheikh Khalid Mosque
34.469009,31.5171322,"504257446","3301",muslim_sunni,Omer Bin Al-Khattab Mosque
34.4813209,31.5222519,"504257478","3301",muslim_sunni,El Salah Mosque
34.4298833,31.5024967,"504262273","3301",muslim_sunni,Al Imran Mosque
34.4466689,31.5359046,"504263022","3301",muslim_sunni,Almostafa Mosque
34.4436963,31.4999772,"504263479","3301",muslim_sunni,Shohada Al-Mojama' Al-Islami Mosque
34.4668225,31.5274163,"504264746","3301",muslim_sunni,Aman Mosque
34.4445667,31.5010918,"504265923","3300",muslim,مصلى الصلاح
34.479288,31.5288254,"504266076","3301",muslim_sunni,Hamza Mosque
34.4637665,31.5055401,"504267106","3301",muslim_sunni,Al Hanood Mosque
34.4503421,31.5339659,"504267874","3301",muslim_sunni,Al-Safa And Al-Marwa Mosque
34.4825007,31.5276682,"504270408","3301",muslim_sunni,Haraa Masged Mosque
34.4270307,31.5036393,"504271378","3301",muslim_sunni,Al-Hedaya Mosque
34.4445546,31.523767,"504272737","3301",muslim_sunni,Al-Shefa'a Mosque
34.4711397,31.5245295,"504277321","3301",muslim_sunni,Al-Shaheed Mahmoud Tawalba Mosque
34.4611586,31.5067462,"504278152","3301",muslim_sunni,Al-Sheikh Sha'ban Mosque
34.4723146,31.5262925,"504280125","3301",muslim_sunni,Al-Zakereen Mosque
34.441359,31.5307177,"504281614","3301",muslim_sunni,Al-Tawheed Mosque
34.4687064,31.5245485,"504281754","3301",muslim_sunni,Al-Ghofran Mosque
34.4518004,31.4943101,"504283094","3301",muslim_sunni,Hasan Al-Banna Mosque
34.4470998,31.5294541,"504284571","3301",muslim_sunni,Abdalllah Bin Omar Mosque
34.4664219,31.5055512,"504285451","3301",muslim_sunni,EL Mograbe Mosque
34.4445732,31.5296217,"504290019","3301",muslim_sunni,Khaleel Al-Rahman Mosque
34.4737681,31.5220693,"504290386","3301",muslim_sunni,Ihyaa Al-Sunna Mosque
34.4612447,31.5087521,"504291989","3301",muslim_sunni,Al-Sheikh Zakareya Mosque
34.4436743,31.5334216,"504292060","3301",muslim_sunni,El Shatea El Kabeer
34.4853326,31.5149376,"504292388","3301",muslim_sunni,Al Rahman Mosque
34.4496536,31.5333943,"504294732","3301",muslim_sunni,Omer Bin Al-Khattab Mosque
34.4513864,31.4971176,"504297226","3301",muslim_sunni,مسجد شهداء الزيتون
34.446058,31.5373445,"504297576","3301",muslim_sunni,Ebad Elrehaman Mosque
34.4213659,31.4703012,"504297607","3301",muslim_sunni,مسجد بلال بن رباح
34.4325166,31.5229996,"504301506","3301",muslim_sunni,Fishers Mosque
34.4501788,31.5299826,"504302020","3301",muslim_sunni,Al-Wehda Mosque
34.3928002,31.4251533,"505015479","3301",muslim_sunni,Alzafran Mosque
34.3920788,31.4600725,"505021854","3301",muslim_sunni,Hassan Al-Banna Mosque
34.342484,31.4266459,"505021861","3301",muslim_sunni,El Rahman Mosque
34.3324875,31.3715116,"505022599","3301",muslim_sunni,Kaleh bin Alwaleed Mosque
34.3448395,31.4185158,"505023714","3301",muslim_sunni,Yafa Mosque
34.3520918,31.4168779,"505025002","3301",muslim_sunni,Al-Ansar Mosque
34.3313683,31.3751528,"505026612","3301",muslim_sunni,Al'Eman mosque
34.338641,31.4101182,"505027797","3301",muslim_sunni,البركة
34.3515816,31.4194285,"505028199","3301",muslim_sunni,Al-balad Al-qadeem Mosque
34.3241946,31.3630799,"505028778","3301",muslim_sunni,مسجد
34.3159036,31.3672635,"505029481","3300",muslim,مسجد عثمان ابن عفان
34.3444379,31.4141014,"505029983","3301",muslim_sunni,Al Bokhari Mosque
34.3510339,31.4154363,"505030926","3301",muslim_sunni,Abu Saleem Mosque
34.3536735,31.4115727,"505031950","3301",muslim_sunni,Khalid bin Alwaleed Mosque
34.33968,31.4196513,"505032290","3301",muslim_sunni,
34.3473632,31.4213489,"505033306","3301",muslim_sunni,Al-Salam Mosque
34.3652229,31.4292861,"505033543","3301",muslim_sunni,
34.3516674,31.3674066,"505034112","3301",muslim_sunni,El Noor Mosque
34.3344483,31.3944149,"505035657","3301",muslim_sunni,Al-Quba Mosque
34.389622,31.4571965,"505035838","3301",muslim_sunni,Rahma mosque
